# Selection : patch(outletGeo)
# Faces  :    94
# Area   :    8.762406e-06
# Time        	areaAverage(U)
0.111163      	(-4.198680e-01 4.014068e-01 6.736353e-09)
0.111258      	(-4.212677e-01 4.027902e-01 6.851133e-09)
0.111352      	(-4.226595e-01 4.041665e-01 6.910549e-09)
0.111446      	(-4.240540e-01 4.055459e-01 6.925988e-09)
0.11154       	(-4.254498e-01 4.069269e-01 6.911115e-09)
0.111633      	(-4.268353e-01 4.082985e-01 6.884970e-09)
0.111726      	(-4.282221e-01 4.096717e-01 6.855025e-09)
0.111819      	(-4.296096e-01 4.110457e-01 6.827288e-09)
0.111911      	(-4.309867e-01 4.124100e-01 6.811016e-09)
0.112003      	(-4.323655e-01 4.137763e-01 6.803781e-09)
0.112095      	(-4.337455e-01 4.151439e-01 6.802723e-09)
0.112186      	(-4.351155e-01 4.165021e-01 6.811273e-09)
0.112277      	(-4.364876e-01 4.178626e-01 6.823419e-09)
0.112368      	(-4.378612e-01 4.192246e-01 6.835493e-09)
0.112457      	(-4.392245e-01 4.205770e-01 6.851337e-09)
0.112547      	(-4.405896e-01 4.219315e-01 6.866394e-09)
0.112637      	(-4.419560e-01 4.232873e-01 6.878661e-09)
0.112727      	(-4.433235e-01 4.246441e-01 6.888275e-09)
0.112815      	(-4.446804e-01 4.259908e-01 6.902172e-09)
0.112904      	(-4.460393e-01 4.273398e-01 6.917093e-09)
0.112993      	(-4.473995e-01 4.286901e-01 6.930897e-09)
0.11308       	(-4.487489e-01 4.300301e-01 6.949058e-09)
0.113168      	(-4.501001e-01 4.313720e-01 6.967184e-09)
0.113256      	(-4.514524e-01 4.327150e-01 6.982959e-09)
0.113343      	(-4.528057e-01 4.340589e-01 6.995978e-09)
0.11343       	(-4.541476e-01 4.353918e-01 7.013055e-09)
0.113516      	(-4.554915e-01 4.367269e-01 7.030083e-09)
0.113603      	(-4.568366e-01 4.380632e-01 7.044883e-09)
0.113689      	(-4.581827e-01 4.394004e-01 7.057153e-09)
0.113774      	(-4.595171e-01 4.407263e-01 7.074131e-09)
0.11386       	(-4.608535e-01 4.420543e-01 7.091509e-09)
0.113945      	(-4.621910e-01 4.433835e-01 7.106945e-09)
0.11403       	(-4.635294e-01 4.447134e-01 7.120003e-09)
0.114114      	(-4.648556e-01 4.460316e-01 7.138123e-09)
0.114198      	(-4.661837e-01 4.473518e-01 7.156616e-09)
0.114282      	(-4.675130e-01 4.486731e-01 7.172853e-09)
0.114366      	(-4.688430e-01 4.499950e-01 7.186254e-09)
0.114451      	(-4.701739e-01 4.513176e-01 7.197468e-09)
0.114533      	(-4.714920e-01 4.526280e-01 7.215049e-09)
0.114616      	(-4.728124e-01 4.539408e-01 7.234054e-09)
0.114699      	(-4.741340e-01 4.552547e-01 7.251548e-09)
0.114782      	(-4.754564e-01 4.565693e-01 7.266667e-09)
0.114863      	(-4.767652e-01 4.578709e-01 7.290021e-09)
0.114945      	(-4.780760e-01 4.591745e-01 7.310436e-09)
0.115026      	(-4.793876e-01 4.604789e-01 7.327857e-09)
0.115108      	(-4.806997e-01 4.617836e-01 7.341562e-09)
0.115189      	(-4.820125e-01 4.630887e-01 7.352261e-09)
0.11527       	(-4.833110e-01 4.643801e-01 7.372229e-09)
0.11535       	(-4.846116e-01 4.656738e-01 7.390326e-09)
0.11543       	(-4.859132e-01 4.669683e-01 7.406401e-09)
0.11551       	(-4.872153e-01 4.682632e-01 7.419612e-09)
0.11559       	(-4.885178e-01 4.695583e-01 7.430543e-09)
0.115671      	(-4.898211e-01 4.708539e-01 7.440507e-09)
0.115749      	(-4.911091e-01 4.721349e-01 7.462679e-09)
0.115828      	(-4.923996e-01 4.734185e-01 7.484738e-09)
0.115907      	(-4.936911e-01 4.747032e-01 7.505500e-09)
0.115985      	(-4.949831e-01 4.759882e-01 7.523286e-09)
0.116064      	(-4.962755e-01 4.772733e-01 7.538130e-09)
0.116143      	(-4.975686e-01 4.785589e-01 7.551023e-09)
0.11622       	(-4.988450e-01 4.798284e-01 7.576015e-09)
0.116297      	(-5.001239e-01 4.811006e-01 7.600065e-09)
0.116374      	(-5.014038e-01 4.823738e-01 7.621578e-09)
0.116451      	(-5.026839e-01 4.836471e-01 7.638850e-09)
0.116529      	(-5.039642e-01 4.849203e-01 7.652131e-09)
0.116606      	(-5.052449e-01 4.861935e-01 7.662776e-09)
0.116683      	(-5.065264e-01 4.874673e-01 7.672510e-09)
0.116758      	(-5.077892e-01 4.887232e-01 7.697317e-09)
0.116834      	(-5.090548e-01 4.899822e-01 7.722845e-09)
0.116909      	(-5.103213e-01 4.912421e-01 7.746422e-09)
0.116984      	(-5.115878e-01 4.925018e-01 7.765651e-09)
0.11706       	(-5.128542e-01 4.937611e-01 7.780385e-09)
0.117135      	(-5.141207e-01 4.950202e-01 7.791793e-09)
0.117211      	(-5.153878e-01 4.962796e-01 7.801578e-09)
0.117286      	(-5.166559e-01 4.975397e-01 7.811491e-09)
0.117361      	(-5.179252e-01 4.988008e-01 7.823032e-09)
0.117435      	(-5.191720e-01 5.000406e-01 7.850295e-09)
0.117508      	(-5.204224e-01 5.012843e-01 7.884664e-09)
0.117581      	(-5.216736e-01 5.025290e-01 7.914807e-09)
0.117655      	(-5.229245e-01 5.037731e-01 7.939349e-09)
0.117728      	(-5.241750e-01 5.050164e-01 7.957332e-09)
0.117801      	(-5.254251e-01 5.062590e-01 7.969749e-09)
0.117874      	(-5.266756e-01 5.075015e-01 7.978596e-09)
0.117948      	(-5.279267e-01 5.087444e-01 7.986145e-09)
0.118021      	(-5.291789e-01 5.099880e-01 7.994513e-09)
0.118094      	(-5.304321e-01 5.112326e-01 8.005407e-09)
0.118165      	(-5.316556e-01 5.124490e-01 8.038360e-09)
0.118235      	(-5.328833e-01 5.136703e-01 8.079847e-09)
0.118306      	(-5.341116e-01 5.148922e-01 8.118055e-09)
0.118377      	(-5.353389e-01 5.161129e-01 8.144672e-09)
0.118447      	(-5.365648e-01 5.173316e-01 8.161288e-09)
0.118518      	(-5.377897e-01 5.185488e-01 8.169325e-09)
0.118588      	(-5.390142e-01 5.197650e-01 8.171615e-09)
